variant,task,macro_f1,weighted_f1,accuracy,train_rows,test_rows,labels
taxonomy_v2_text,intent,0.31354923164895576,0.5369948153516398,0.5248161764705882,6157,1088,10
taxonomy_v2_text,emotion,0.21414394118050095,0.4348276707179553,0.42003676470588236,6157,1088,8
taxonomy_v2_text,diagnosis_stage,0.38288344406445834,0.4050544202169557,0.40349264705882354,6157,1088,7
feature_text,intent,0.2959913757300501,0.4860587137196242,0.4650735294117647,6157,1088,10
feature_text,emotion,0.3174332619265484,0.6170539893236693,0.6038602941176471,6157,1088,8
feature_text,diagnosis_stage,0.5272945676013148,0.5236055141807293,0.5238970588235294,6157,1088,7
feature_text_sampled,intent,0.2984996420304419,0.45944895186146456,0.43566176470588236,6709,1088,10
feature_text_sampled,emotion,0.31989983713003056,0.5928313000990002,0.5698529411764706,6245,1088,8
feature_text_sampled,diagnosis_stage,0.5281453447543157,0.5240852403772065,0.5248161764705882,6387,1088,7
feature_text_sampled_augmented,intent,0.29518405311776663,0.4578225697122118,0.43566176470588236,7494,1088,10
feature_text_sampled_augmented,emotion,0.32186335969969565,0.5947018271916825,0.5735294117647058,7195,1088,8
feature_text_sampled_augmented,diagnosis_stage,0.5267728906399793,0.5255661248431273,0.5266544117647058,8204,1088,7
feature_text_soft_vote,intent,0.31433320068485904,0.4728274960720453,0.45036764705882354,7494,1088,10
feature_text_soft_vote,emotion,0.3409747034444347,0.6108449373968179,0.5909926470588235,7195,1088,8
feature_text_soft_vote,diagnosis_stage,0.519233808690505,0.5225730546738683,0.5238970588235294,8204,1088,7
